[2023-03-13 01:35:42 PM-train1.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.15561166666666668]
[2023-03-13 01:35:44 PM-train1.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.3356451612903227]
[2023-03-13 01:35:48 PM-train1.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.4050240000000001]
[2023-03-13 01:36:03 PM-train1.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.2263455263157894]
[2023-03-13 01:36:25 PM-train1.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.14750510204081638]
[2023-03-13 01:36:25 PM-train1.py-INFO:##############################################################################best:1.2701314563135953 0.25402629126271903]
[2023-03-13 01:40:07 PM-train1.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.2374183333333333]
[2023-03-13 01:40:08 PM-train1.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.3901774193548388]
[2023-03-13 01:40:12 PM-train1.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.462513]
[2023-03-13 01:40:27 PM-train1.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.23766763157894755]
[2023-03-13 01:40:49 PM-train1.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.15860102040816323]
[2023-03-13 01:40:49 PM-train1.py-INFO:##############################################################################best:1.4863774046752827 0.2972754809350565]
[2023-03-13 01:44:36 PM-train1.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.3306000000000001]
[2023-03-13 01:44:38 PM-train1.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.46085806451612915]
[2023-03-13 01:44:42 PM-train1.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.48973799999999995]
[2023-03-13 01:44:56 PM-train1.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.3441952631578948]
[2023-03-13 01:45:18 PM-train1.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.1793051020408163]
[2023-03-13 01:45:18 PM-train1.py-INFO:##############################################################################best:1.8046964297148405 0.3609392859429681]
[2023-03-13 01:48:58 PM-train1.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.501245]
[2023-03-13 01:49:00 PM-train1.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.5662193548387094]
[2023-03-13 01:49:04 PM-train1.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.597014]
[2023-03-13 01:49:19 PM-train1.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.39688263157894704]
[2023-03-13 01:49:41 PM-train1.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.22415561224489786]
[2023-03-13 01:49:41 PM-train1.py-INFO:##############################################################################best:2.2855165986625545 0.4571033197325109]
[2023-03-13 01:53:23 PM-train1.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.3844066666666666]
[2023-03-13 01:53:24 PM-train1.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.5892467741935485]
[2023-03-13 01:53:28 PM-train1.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.6532889999999999]
[2023-03-13 01:53:44 PM-train1.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.3877465789473685]
[2023-03-13 01:54:06 PM-train1.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.23960714285714294]
[2023-03-13 01:57:49 PM-train1.py-INFO:epoch: 6, dataset: CVC-300, dice: 0.51209]
[2023-03-13 01:57:51 PM-train1.py-INFO:epoch: 6, dataset: CVC-ClinicDB, dice: 0.6533516129032257]
[2023-03-13 01:57:55 PM-train1.py-INFO:epoch: 6, dataset: Kvasir, dice: 0.6857509999999998]
[2023-03-13 01:58:10 PM-train1.py-INFO:epoch: 6, dataset: CVC-ColonDB, dice: 0.445947105263158]
[2023-03-13 01:58:33 PM-train1.py-INFO:epoch: 6, dataset: ETIS-LaribPolypDB, dice: 0.25721938775510217]
[2023-03-13 01:58:33 PM-train1.py-INFO:##############################################################################best:2.554359105921486 0.5108718211842972]
[2023-03-13 02:02:16 PM-train1.py-INFO:epoch: 7, dataset: CVC-300, dice: 0.5833966666666668]
[2023-03-13 02:02:18 PM-train1.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.6694758064516132]
[2023-03-13 02:02:22 PM-train1.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.693676]
[2023-03-13 02:02:37 PM-train1.py-INFO:epoch: 7, dataset: CVC-ColonDB, dice: 0.4978394736842106]
[2023-03-13 02:02:59 PM-train1.py-INFO:epoch: 7, dataset: ETIS-LaribPolypDB, dice: 0.2711811224489799]
[2023-03-13 02:02:59 PM-train1.py-INFO:##############################################################################best:2.7155690692514702 0.543113813850294]
[2023-03-13 02:06:41 PM-train1.py-INFO:epoch: 8, dataset: CVC-300, dice: 0.6204983333333334]
[2023-03-13 02:06:43 PM-train1.py-INFO:epoch: 8, dataset: CVC-ClinicDB, dice: 0.7600338709677422]
[2023-03-13 02:06:47 PM-train1.py-INFO:epoch: 8, dataset: Kvasir, dice: 0.7128240000000001]
[2023-03-13 02:07:02 PM-train1.py-INFO:epoch: 8, dataset: CVC-ColonDB, dice: 0.5263221052631579]
[2023-03-13 02:07:24 PM-train1.py-INFO:epoch: 8, dataset: ETIS-LaribPolypDB, dice: 0.29894183673469377]
[2023-03-13 02:07:24 PM-train1.py-INFO:##############################################################################best:2.918620146298927 0.5837240292597854]
[2023-03-13 02:11:11 PM-train1.py-INFO:epoch: 9, dataset: CVC-300, dice: 0.63495]
[2023-03-13 02:11:12 PM-train1.py-INFO:epoch: 9, dataset: CVC-ClinicDB, dice: 0.7483806451612904]
[2023-03-13 02:11:17 PM-train1.py-INFO:epoch: 9, dataset: Kvasir, dice: 0.7340559999999998]
[2023-03-13 02:11:32 PM-train1.py-INFO:epoch: 9, dataset: CVC-ColonDB, dice: 0.5688234210526322]
[2023-03-13 02:11:53 PM-train1.py-INFO:epoch: 9, dataset: ETIS-LaribPolypDB, dice: 0.34638622448979595]
[2023-03-13 02:11:53 PM-train1.py-INFO:##############################################################################best:3.0325962907037183 0.6065192581407437]
[2023-03-13 02:15:35 PM-train1.py-INFO:epoch: 10, dataset: CVC-300, dice: 0.6790916666666668]
[2023-03-13 02:15:37 PM-train1.py-INFO:epoch: 10, dataset: CVC-ClinicDB, dice: 0.7500467741935485]
[2023-03-13 02:15:41 PM-train1.py-INFO:epoch: 10, dataset: Kvasir, dice: 0.7426760000000003]
[2023-03-13 02:15:56 PM-train1.py-INFO:epoch: 10, dataset: CVC-ColonDB, dice: 0.5532684210526311]
[2023-03-13 02:16:18 PM-train1.py-INFO:epoch: 10, dataset: ETIS-LaribPolypDB, dice: 0.3576704081632654]
[2023-03-13 02:16:18 PM-train1.py-INFO:##############################################################################best:3.082753270076112 0.6165506540152224]
[2023-03-13 02:20:02 PM-train1.py-INFO:epoch: 11, dataset: CVC-300, dice: 0.6508183333333336]
[2023-03-13 02:20:04 PM-train1.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.7663032258064516]
[2023-03-13 02:20:08 PM-train1.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.7276590000000001]
[2023-03-13 02:20:23 PM-train1.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.559334736842105]
[2023-03-13 02:20:46 PM-train1.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.3213887755102041]
[2023-03-13 02:24:33 PM-train1.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.49795166666666674]
[2023-03-13 02:24:35 PM-train1.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.7604225806451615]
[2023-03-13 02:24:39 PM-train1.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.7528309999999998]
[2023-03-13 02:24:54 PM-train1.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.5016144736842105]
[2023-03-13 02:25:17 PM-train1.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.2893403061224491]
[2023-03-13 02:29:23 PM-train1.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.6212300000000001]
[2023-03-13 02:29:25 PM-train1.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.7600516129032259]
[2023-03-13 02:29:30 PM-train1.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.7493290000000001]
[2023-03-13 02:29:46 PM-train1.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.5780063157894738]
[2023-03-13 02:30:10 PM-train1.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.33220561224489814]
[2023-03-13 02:34:06 PM-train1.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.6750516666666666]
[2023-03-13 02:34:08 PM-train1.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.7761499999999998]
[2023-03-13 02:34:12 PM-train1.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.7712719999999997]
[2023-03-13 02:34:27 PM-train1.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.5793894736842108]
[2023-03-13 02:34:50 PM-train1.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.34218112244897964]
[2023-03-13 02:34:50 PM-train1.py-INFO:##############################################################################best:3.1440442627998566 0.6288088525599713]
[2023-03-13 02:38:35 PM-train1.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.6518433333333333]
[2023-03-13 02:38:37 PM-train1.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.785533870967742]
[2023-03-13 02:38:41 PM-train1.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.760894]
